ESPÉCIE DE DÉBITO DETALHADA,ESPÉCIE,IDADE DA DÍVIDA,SALDO INICIAL DO PROCESSO,SALDO PROCESSO,VALOR RECOLHIMENTO PROCESSO,FAIXA DE RECOLHIMENTO,TAXA DE RECOLHIMENTO,PERÍODO DA DÍVIDA,PERIODO BAIXADO,SITUAÇÃO DO SALDO,INDICADOR DE PF OU PJ,SEGMENTO CONTRIBUINTE,QTDE. ANOS DO ESGOTAMENTO,ULTIMA ARRECADACAO,RATING
5,2,1,0.0,423.76,0.0,0,0.0,0,0,0,0,10,0,0.0,2
11,3,5,2533.08,2904.359999999999,1485.5398,1,0.586455935067191,0,0,2,1,9,16,0.0,0
4,1,3,1616.44,1735.93,438.75,2,0.2714298087154488,0,0,2,1,9,2,1288.01,1
2,1,9,24062.77,20520.96,26385.95,1,1.096546656931018,1,1,1,1,17,0,9035.78,0
6,1,7,25479.16,15278.87,9856.42,2,0.386842423376595,1,0,1,1,17,0,184205.05,0
5,2,1,0.0,1051.52,0.0,0,0.0,0,0,1,0,10,0,1042.94,0
9,1,2,10651.01,8116.35,5536.67,1,0.5198258193354433,0,0,1,1,17,0,28936.05,0
5,2,3,1870.33,604.84,0.0,0,0.0,0,0,0,0,10,0,1196.22,3
5,2,4,1065.27,228.71,0.0,0,0.0,0,0,0,0,10,0,0.0,3
9,1,2,706.94,782.54,0.0,0,0.0,0,0,0,1,18,1,0.0,1
5,2,4,1372.39,1571.5,0.0,0,0.0,0,0,0,0,10,0,0.0,3
5,2,3,1409.03,627.29,0.0,0,0.0,0,0,0,0,10,0,0.0,3
9,1,9,762.03,1693.64,194.24,2,0.2548981011246277,1,0,2,1,8,1,405.97,1
9,1,17,414.78,1551.03,196.5,2,0.4737451178938233,1,1,0,1,6,10,0.0,1
5,2,1,778.05,816.9599999999999,0.0,0,0.0,0,0,0,0,10,0,786.77,2
5,2,1,0.0,773.41,0.0,0,0.0,0,0,0,0,10,0,0.0,2
4,1,3,338.87,481.5,0.0,0,0.0,0,0,0,1,1,0,6939.34,1
5,2,1,0.0,120.59,0.0,0,0.0,0,0,1,0,10,0,0.0,0
9,1,7,3305.35,7321.23,873.8064,2,0.264361232547234,1,1,2,1,17,2,0.0,1
4,1,1,1942.96,2356.49,0.0,0,0.0,0,2,0,1,1,0,11604.43,1
5,2,1,0.0,778.05,0.0,0,0.0,0,0,0,0,10,0,0.0,2
9,1,13,4693.64,8383.9,2215.85,2,0.472096283481477,1,1,2,1,6,3,0.0,1
6,1,1,29330.17,30984.18,0.0,0,0.0,0,0,0,1,12,0,2234.59,0
9,1,13,1647.2,5281.34,171.31,3,0.104000728508985,1,1,0,1,1,6,0.0,2
5,2,11,3157.8,1836.51,952.66,2,0.3016847172081829,1,0,1,0,10,0,2194.36,0
